	Height	Tree	Shrub	WoodyLiana	ParasiticEpiphyte	DwarfShrub	MonocarpPerennialHerb	PolycarpNonClonalHerb	ClonalHerb	AnnualHerb	ChamPh	GeoPh	HemiPh	HydroPh	MphanPh	NphanPh	TherPh	LfArVertic	LfArAltern	LfArRosette	LfArOppos	LfTSimple	LfTReduced	LfTComp	LfGrSpring	LfGrSummer	LfGrWinter	LfGrPersist	LfScler	LfSuccul	LA	SLA	LDMC	FloweringLength	Dioecy	OutCross	AutoGam	ZooGam	AnemoGam	HydroGam	FleshyFr	VegetRepr	MyrmChor	SeedMass	SeedNo	Sh_polycyclic_Woody_incl	BdBank_size	BdBank_depth	Parasit	MHtroph	Cvory	Nfix	Gnm_size	Gnm_GC	Clon_persist	Clon_multip	LateralSpr	ClonInd	ClonDispOrg	DiasporeVeg	DiasporeGen	DispAllium	DispBidens	DispCornus	DispEpilobium	DispalLycopodium	DispPhragmites	DispSparganium	DispWolffia	DispZea
Lithospermum_officinale	0.55	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	957.5	21.85	213.5	2	0	0.75	1	1	0	0	0	0	0	11.52	1	0	20	4	0	0	0	0	1151.78	39.69	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Littorella_uniflora	0.09	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	98.42	12.67	107.37	5	0	0.75	0	0	1	0	0	0.5	0	0.82	11.5	0	20	2	0	0	0	0	11036.07	41.02	1.5	4.75	0.1	5	0	0	1	0	0	0	0	0	0	1	0	0
Lolium_multiflorum	0.65	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0.75	0	606	30.06	265	3	0	1	0	0	1	0	0	0	0	2.91	3638.76	1	6	1.67	0	0	0	0	4694.22	46.22	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Lolium_perenne	0.35	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0.75	0	402	25.67	214.4	6	0	0.88	0	0	1	0	0	0	0	1.98	62970.75	1	13.57	3.11	0	0	0	0	4754.08	46.39	3.67	4.33	0.04	4	0	0	1	1	0	0	0	0	0	0	0	0
Lonicera_caerulea	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	0	NA	13.5	NA	2	NA	NA	NA	NA	NA	NA	1	NA	0	2.15	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	1	0	0	0	0	0	0
Lonicera_caprifolium	2.75	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0.63	0	1630.13	18.77	250.63	2	0	0.75	1	1	0	0	1	0.5	0	8.04	2	NA	25	6.2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	1	0	0	0	0	0	0
Lonicera_nigra	1.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0.75	0	NA	NA	NA	3	0	0.5	1	1	0	0	1	0	0	NA	NA	NA	10	10	0	0	0	0	1722.83	38.93	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Lonicera_periclymenum	2.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0.75	0	803.9	14.2	227	2	0	0.5	1	1	0	0	1	0	0	6.05	8	NA	15	7	0	0	0	0	NA	NA	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Lonicera_xylosteum	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0.63	0	NA	24.11	NA	2	0	0.5	1	1	0	0	1	0	0	164.07	11000	NA	30	10	0	0	0	0	1575.65	39.55	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Loranthus_europaeus	0.7	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	NA	0	NA	NA	NA	2	1	0.9	0	1	0	0	1	0	0	NA	NA	NA	0	0	0.5	0	0	0	16830.4	45.84	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
